name,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Pumpernickel,33.0,0.18,57.0,174.0,274.0,0.001,2.7,1.49,2.37,0.05,0.06,0.0,0.2,0.9,0.0
Pumpkin seed oil,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
Pumpkin seeds,39.0,1.57,270.0,850.0,820.0,0.006,10.0,6.6,10.637,0.32,0.23,0.0,0.092,4.0,0.0
"Pumpkin seeds, PROCESS Baking",42.0,0.25,535.0,1124.0,720.0,0.007,8.0,7.94,10.138,0.14,0.18,0.0,0.17,3.604,0.0
"Pumpkin seeds, PROCESS Cooking in water",9.0,0.592,246.0,471.0,434.0,,4.223,5.622,10.002,0.032,0.387,0.0,0.066,3.656,0.0
"Pumpkin seeds, PROCESS Steaming",9.0,0.592,246.0,471.0,434.0,,4.223,5.622,10.002,0.032,0.387,0.0,0.066,3.656,0.0
Pumpkins,29.0,0.02,10.0,19.0,130.0,0.0,0.4,0.2,0.75,,0.16,0.0,0.02,1.1,0.005
"Pumpkins, PROCESS Baking",25.9,0.07,5.9,15.8,223.0,0.0002,1.0,0.14,0.856,0.04,0.03,0.0,0.05,0.3,0.006
"Pumpkins, PROCESS Cooking in water",23.0,0.02,7.0,15.0,84.0,0.0002,0.1,0.2,0.278,,0.14,0.0,0.03,1.1,0.005
"Pumpkins, PROCESS Steaming",23.0,0.02,7.0,15.0,84.0,0.0002,0.1,0.2,0.76,,0.14,0.0,0.03,1.1,0.005
Purslanes,125.0,0.11,68.0,70.0,800.0,0.0009,3.0,0.17,0.85,0.04,0.06,,0.06,,0.381
Purslanes and similar-,125.0,0.11,68.0,70.0,800.0,0.0009,3.0,0.17,0.85,0.04,0.06,0.0,0.06,,0.381
Pyramid cake,31.0,0.094,18.0,129.0,125.0,,1.15,0.955,2.113,0.177,0.053,0.001,0.033,2.553,0.006
Quail eggs,64.0,0.065,11.0,230.0,147.0,0.0249,3.7,1.49,4.0,0.79,0.13,0.0019,0.15,1.96,0.009
"Quail eggs, PROCESS Cooking in water",48.0,0.062,10.0,200.0,140.0,,1.739,1.416,3.099,0.326,0.08,0.0015,0.062,1.96,0.009
Quail fresh meat,15.0,0.507,31.0,180.0,304.0,,3.97,2.7,15.15,0.16,0.14,0.0005,0.67,0.7,0.0
"Quail fresh meat, PROCESS Baking",,,,,,,,,12.784,,,,,,0.0
"Quail fresh meat, PROCESS Cooking in water",19.0,,36.0,244.0,286.0,,3.2,2.7,12.2,0.22,0.13,0.00033,0.55,,
"Quail fresh meat, PROCESS Steaming",19.0,,36.0,244.0,286.0,,3.2,2.7,12.2,0.22,0.13,0.00033,0.55,,
Quark,128.0,0.02,13.0,100.0,163.0,0.004,,0.57,2.7,0.3,0.04,0.0007,0.01,,0.0
Quiche,164.0,0.05,16.0,167.0,141.0,0.007,0.8,1.07,4.6,0.21,0.11,0.00065,0.081,1.1,0.017
Quinces,13.5,0.15,7.0,21.8,152.0,0.000326,0.2,0.059,0.183,0.01,0.045,0.0,0.04,0.4,0.0
Rabbit fresh meat,10.0,0.06,25.0,200.0,300.0,0.017,2.0,1.4,12.5,0.05,0.12,0.01,0.4,0.4,0.0
"Rabbit fresh meat, PROCESS Baking",31.9,0.063,31.5,200.0,340.0,0.030600000000000002,,1.79,10.772,0.21,0.1,0.0022,0.13,1.22,0.0
"Rabbit fresh meat, PROCESS Cooking in water",39.0,0.06,18.0,150.0,200.0,0.016,1.1,1.7,11.3,0.16,0.02,0.003,0.29,0.356,0.0
"Rabbit fresh meat, PROCESS Steaming",39.0,0.06,18.0,150.0,200.0,0.016,1.1,1.7,11.3,0.16,0.02,0.003,0.29,0.356,0.0
Radish sprouts,131.0,,20.0,43.0,234.0,,0.5,0.4,1.4,0.07,0.1,0.0,0.14,,
"Radish sprouts, PROCESS Cooking in water",106.0,,10.0,22.0,100.0,,0.3,0.3,0.9,0.04,0.05,0.0,0.08,,
"Radish sprouts, PROCESS Steaming",67.0,0.09,10.0,164.0,36.0,,2.1,0.8,2.4,0.118,0.05,0.0,0.03,0.09,
Radishes and similar-,30.0,0.01,5.0,30.0,250.0,,2.0,0.2,0.483,0.03,0.05,0.0,0.08,,0.0
"Radishes and similar-, PROCESS Cooking in water",42.0,0.039,16.0,36.0,363.0,,0.703,0.264,0.427,0.027,0.025,0.0,0.052,0.011,0.0
"Radishes and similar-, PROCESS Steaming",24.1,0.12,32.1,94.0,387.0,,0.7,0.264,0.6,0.05,0.15,0.0,0.07,0.8,0.0
Raisin wine,8.8,0.004,8.6,9.4,93.0,0.0001,0.7,0.1,0.213,0.0,0.0,0.0,0.01,0.0,
"Rape seed oil, edible",0.0,0.002,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,18.4,
Raspberries (red and yellow),15.0,0.1,19.0,25.0,228.0,,1.5,0.3,0.553,0.06,0.09,0.0,0.06,0.5,0.01
Raspberries and similar-,15.0,0.1,19.0,25.0,228.0,,1.5,0.3,0.75,0.06,0.09,0.0,0.06,0.5,0.01
Ratatouille,17.0,0.02,14.0,32.0,282.0,0.001,0.55,0.2,0.657,0.01,0.07,,0.14,1.652,0.009
Rays,31.0,,28.0,218.0,262.0,,1.0,0.8,5.1,0.04,0.03,0.00047,0.19,,
"Rays, PROCESS Baking",50.0,0.03,37.0,220.0,320.0,,0.6,0.6,2.5,0.25,0.15,0.008,0.46,0.0,
"Rays, PROCESS Cooking in water",40.0,0.03,30.0,150.0,250.0,0.0,0.4,0.6,1.5,0.2,0.1,0.005,0.3,0.0,
"Rays, PROCESS Steaming",40.0,0.03,30.0,150.0,250.0,0.0,0.4,0.6,1.5,0.2,0.1,0.005,0.3,0.0,
Ready-to-eat cereal-based meal for children,20.0,0.08,10.0,40.0,180.0,0.001,1.5,0.5,1.1,0.02,0.03,,0.05,0.38,
Ready-to-eat dairy-based meal for children,16.0,0.02,6.0,22.0,80.0,,0.2,0.1,0.4,0.03,0.02,0.0,0.03,0.05,
Ready-to-eat fish-based meal for children,40.0,0.03,7.0,57.0,240.0,0.003,1.5,0.3,1.0,0.04,0.03,,0.07,0.46,
Ready-to-eat fruit-based meal for children,29.0,0.03,7.0,17.0,177.0,0.001,0.2,0.06,0.2,0.01,0.02,0.0,0.05,0.32,
Ready-to-eat meat-based meal for children,20.0,0.06,10.0,50.0,220.0,0.001,1.8,0.6,1.2,0.03,0.05,,0.08,0.24,
Ready-to-eat mixed meal for children,19.6,0.013,11.8,41.8,184.0,0.001,0.383,0.325,1.15,0.086,0.115,0.00028399999999999996,0.185,0.65,
Ready-to-eat vegetable-based meal for children,30.0,0.1,15.0,45.0,210.0,0.001,1.7,0.3,0.7,0.02,0.05,0.0,0.07,0.5,
Red mustard leaves,84.0,0.2,88.0,73.0,130.0,0.006,2.0,1.1,1.4,0.24,0.095,0.0,0.22,2.9,0.56
Red or ros sparkling wine,12.0,0.019,7.0,6.0,73.0,,0.926,0.039,0.068,0.01,0.01,0.0,0.022,0.0,0.0
Redcurrants,20.0,0.12,13.0,40.0,295.0,,1.0,0.2,0.4,0.02,0.08,0.0,0.07,0.1,0.011
Reindeer meat,11.0,0.44,20.0,210.0,310.0,0.03,3.0,4.8,9.267,0.2,0.1,0.005,0.4,0.1,
"Reindeer meat, PROCESS Baking",13.0,0.6,19.0,241.0,245.0,0.03,4.309,6.895,9.712,0.187,0.057,0.0043,0.259,0.115,
"Reindeer meat, PROCESS Cooking in water",20.4,0.6307,47.6,443.8,629.2,0.0429,9.6,6.9,7.3,0.21,0.06,0.005900000000000001,0.71,1.2,
"Reindeer meat, PROCESS Frying",17.6,0.5082,38.4,358.4,507.3,0.0345,7.7,5.5,5.9,0.21,0.07,0.0058,0.57,2.1,
"Reindeer meat, PROCESS Steaming",20.4,0.6307,47.6,443.8,629.2,0.0429,9.6,6.9,7.3,0.21,0.06,0.005900000000000001,0.71,1.2,
Rhubarbs,40.0,0.07,14.0,30.0,300.0,,0.5,0.1,0.367,0.02,0.05,0.0,0.03,0.2,0.011
"Rhubarbs, PROCESS Cooking in water",33.0,0.03,11.0,18.0,210.0,0.001,0.1,0.15,0.487,0.02,0.03,0.0,0.02,0.7,0.012
"Rhubarbs, PROCESS Steaming",33.0,0.03,11.0,18.0,210.0,0.001,0.1,0.15,0.487,0.02,0.03,0.0,0.02,0.7,0.012
Rice and meat meal,16.0,0.1,15.0,68.0,58.0,0.004,0.9,0.74,2.0,0.07,0.1,0.00016,0.101,0.2,0.005
Rice and similar-,,0.08,,,,,,,,,,,,,
Rice and vegetables meal,16.0,0.1,15.0,68.0,58.0,0.004,0.9,0.74,1.6,0.07,0.1,0.00016,0.101,0.2,0.009
"Rice based dishes cooked, PROCESS Baking",20.0,,11.0,38.0,266.0,,0.7,0.3,,0.01,0.11,,0.21,1.42,
"Rice based dishes cooked, PROCESS Cooking in water",79.0,0.2,24.0,100.0,121.0,0.004,0.8,1.3,1.3,0.09,0.05,0.0,0.07,2.85,
"Rice based dishes cooked, PROCESS Steaming",16.7,0.1,8.47,60.6,74.0,0.0034,0.4,0.5,1.6,0.051,0.122,0.00014000000000000001,0.085,0.91,
Rice chips,14.0,0.34,21.0,97.0,146.0,0.008,0.8,1.2,4.267,0.04,0.04,0.0,0.12,0.4,0.0
Rice flour,10.0,0.2,90.0,100.0,100.0,0.003,0.4,1.17,2.62,0.03,0.04,0.0,0.12,,0.0
"Rice grain, brown",12.0,0.242,157.0,300.0,250.0,0.01,1.3,0.8,8.27,0.03,0.34,0.0,0.25,0.8,0.0
"Rice grain, brown, PROCESS Baking",2.0,0.081,12.0,39.0,34.0,,0.349,0.516,0.867,0.009,0.09,0.0,0.028,0.038,0.0
"Rice grain, brown, PROCESS Cooking in water",16.0,0.09,39.0,105.0,37.0,0.009,0.3,0.81,3.2,0.01,0.09,0.0,0.046,,0.0
"Rice grain, brown, PROCESS Steaming",16.0,0.09,39.0,105.0,37.0,0.009,0.3,0.81,3.2,0.01,0.09,0.0,0.046,,0.0
"Rice grain, long-grain",10.0,0.37,13.0,100.0,100.0,0.013,0.4,1.8,4.2,0.03,0.04,0.0,0.12,0.1,0.001
"Rice grain, long-grain, PROCESS Cooking in water",12.0,0.08,9.0,42.0,25.0,0.001,0.2,0.75,1.5,0.01,0.02,0.0,0.019,,0.0
"Rice grain, long-grain, PROCESS Steaming",12.0,0.08,9.0,42.0,25.0,0.001,0.2,0.75,1.5,0.01,0.02,0.0,0.019,,0.0
"Rice grain, mixed",12.0,0.37,94.0,300.0,250.0,0.01,1.3,0.8,7.25,0.03,0.21,0.0,0.25,0.8,0.001
"Rice grain, mixed, PROCESS Cooking in water",9.0,0.34,38.0,120.0,100.0,0.004,0.5,0.32,2.18,0.01,0.08,0.0,0.1,0.3,0.0
"Rice grain, mixed, PROCESS Steaming",2.0,0.079,12.0,40.0,33.0,0.0092,0.341,0.523,0.89,0.009,0.08,0.0,0.036,0.037,0.0
"Rice grain, parboiled",130.0,0.2,35.0,171.0,150.0,0.006,1.2,1.7,6.83,0.035,,0.0,0.402,0.05,
"Rice grain, parboiled, PROCESS Cooking in water",20.0,0.13,,30.0,20.0,0.005,0.8,0.66,1.5,0.01,0.05,0.0,0.04,,0.0
"Rice grain, parboiled, PROCESS Steaming",20.0,0.13,90.0,30.0,20.0,0.005,0.8,0.66,1.5,0.01,0.05,0.0,0.04,,0.0
"Rice grain, polished",10.0,0.15181818181818182,13.0,100.0,100.0,0.013,0.4,1.8,3.0,0.03,0.04,0.0,0.12,0.1,
Rice porridge,108.0,0.01,12.0,90.0,141.0,0.001,0.1,0.41,1.3,0.18,0.03,0.00029,0.038,0.1,0.001
"Rice porridge, INGRED Cow milk, skimmed (low fat)",99.0,0.0432,13.6,88.1,139.4,0.0043,0.2,0.5,0.3,0.12,0.03,0.0003,0.05,0.1,
"Rice porridge, INGRED Cow milk, whole",108.0,0.01,12.0,90.0,141.0,0.001,0.1,0.41,0.739,0.18,0.03,0.00029,0.038,0.1,0.001
Rice pudding,88.0,0.13,12.0,86.0,130.0,0.001,0.1,0.5,0.9,0.13,0.01,0.0002,0.01,0.16,0.001
Rice rolled grains,6.0,0.215,32.0,110.0,112.0,,0.925,1.443,2.7,0.032,0.06,0.0,0.15,0.1,0.001
Rice starch,20.0,0.05,20.0,10.0,8.0,,0.02,0.1,0.193,0.0,0.0,0.0,0.0,0.0,0.0
"Rice, meat, and vegetables meal",16.0,0.1,15.0,68.0,58.0,0.004,0.9,0.74,1.04,0.07,0.1,0.00016,0.101,0.2,0.002
"Rice, popped",18.0,,132.0,324.0,303.0,0.01,0.9,2.0,4.8,0.03,0.9,,0.17,0.8,0.0
Ricotta,240.0,,13.0,170.0,110.0,0.0145,0.4,1.3,2.933,0.19,0.02,0.0003,0.03,0.03,0.0
Risotto,25.0,0.12,15.0,101.0,230.0,0.0027,0.76,1.1,4.4,0.06,0.08,,0.018,0.14,0.001
River eels,20.0,0.05,19.0,200.0,250.0,0.03,1.0,1.75,6.47,0.35,0.1,0.0044,0.17,4.1,0.0
"River eels, PROCESS Baking",26.0,0.029,26.0,277.0,349.0,0.028,0.64,2.08,5.404,0.051,0.183,0.00289,0.077,5.1,0.0
"River eels, PROCESS Cooking in water",20.0,0.05,19.0,200.0,250.0,0.03,1.0,1.75,5.349,0.35,0.1,0.004,0.17,4.1,0.0
"River eels, PROCESS Frying",20.0,0.098,28.0,358.0,283.0,,0.878,2.439,5.587,0.343,0.172,0.0011,0.267,8.893,0.0
"River eels, PROCESS Steaming",20.0,0.05,19.0,200.0,250.0,0.03,1.0,1.75,5.349,0.35,0.1,0.004,0.17,4.1,0.0
Roaches,96.4,0.054,26.0,252.0,330.0,0.0224,0.5,1.8,3.6,0.13,0.07,0.002,0.36,1.5,
Roe deer meat,20.0,0.21,25.0,220.0,342.0,0.009,3.0,2.4,4.267,0.25,0.22,0.0014,0.5,0.8,0.0
"Roe deer meat, PROCESS Baking",7.0,0.199,25.0,275.0,386.0,,4.192,4.412,5.7,0.331,0.088,0.0012,0.287,0.247,0.0
"Roe deer meat, PROCESS Cooking in water",4.0,0.157,14.0,194.0,187.0,,3.31,3.31,4.283,0.152,0.044,0.0007,0.132,0.185,0.0
"Roe deer meat, PROCESS Steaming",4.0,0.157,14.0,194.0,187.0,,3.31,3.31,4.283,0.152,0.044,0.0007,0.132,0.185,0.0
Roesti,15.0,0.214,28.1,100.0,201.0,0.00027,0.4,0.598,3.1,0.07,0.14,,0.4,0.19,0.002
Roman rocket,271.0,0.06,41.0,57.0,456.0,0.0003,2.6,0.49,1.2,0.17,0.06,0.0,0.136,0.8,0.25
Roman rocket and similar-,271.0,0.06,41.0,57.0,456.0,,2.6,0.49,1.2,0.17,0.06,0.0,0.136,0.8,0.25
Rooibos infusion,2.0,0.015,1.0,0.0,9.0,0.0001,0.08,0.04,0.0,0.004,0.01,0.0,0.0,0.04,
Rose hips and similar-,257.0,1.8,104.0,258.0,291.0,0.0002,0.52,0.92,1.713,0.067,0.058,0.0,0.048,4.14,0.092
Rosemary,370.0,0.091,64.0,20.0,280.0,0.004,8.5,0.9,0.348,0.0,0.1,0.0,0.0,0.0,0.0
Rum,,0.07,,,,0.0,,0.02,0.013,,,0.0,,,0.0
"Rusk, refined flour",26.0,0.13,25.0,130.0,222.0,0.005,1.8,0.9,2.83,0.12,0.08,,0.071,0.8,0.005
"Rusk, wholemeal",10.0,0.08,37.0,,385.0,0.002,,0.1,11.675,0.1,,0.0,0.3,,
Rye bran,45.0,0.58,300.0,750.0,900.0,0.0028,9.5,8.0,0.2,0.16,0.31,0.0,0.17,1.0,
"Rye bread, refined flour",34.0,0.13,40.4,114.0,250.0,0.00283,1.2,1.23,1.979,0.102,0.188,0.0,0.122,0.2,
"Rye bread, wholemeal",34.0,0.2,55.0,178.0,248.0,0.003,2.0,1.43,2.4,0.06,0.12,0.0,0.081,0.9,0.0
"Rye flour, light",30.0,0.15,51.0,150.0,200.0,0.001,1.5,1.3,1.683,0.07,0.15,0.0,0.225,0.2,
"Rye flour, medium",45.0,0.42,92.0,350.0,500.0,,4.0,3.0,2.65,0.2,0.4,0.0,0.22,1.6,
"Rye flour, wholemeal",33.3,0.317,92.6,301.0,438.0,0.0015,2.8,2.8,3.53,0.106,0.33,0.0,0.28,0.8,
Rye groats,80.0,0.41,129.0,342.0,355.0,0.0028,5.8,3.204,5.537,0.17,0.674,0.0,0.96,0.47,
Rye porridge,7.3,0.0712,14.0,43.5,60.9,0.0004,0.6,0.4,0.1,0.02,0.03,0.0,0.02,0.1,
"Rye porridge, INGRED Cow milk, whole",100.6,0.0478,19.0,98.9,161.5,0.0025,0.4,0.6,0.1,0.13,0.04,0.0003,0.08,0.1,
"Rye porridge, INGRED Tap water",7.2,0.0523,13.0,34.3,52.9,0.0004,0.4,0.3,0.1,0.01,0.02,0.0,0.05,0.1,
Rye rolled grains,64.0,0.44,110.0,373.0,530.0,0.002,3.7,2.6,3.333,0.17,0.35,0.0,0.29,0.9,0.0
Rye starch,18.0,0.08,8.0,100.0,60.0,0.001,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,
"Rye-wheat bread, refined flour",19.0,0.12,26.0,100.0,165.0,0.002,1.0,0.93,2.19,0.061,0.14,0.0,0.122,0.2,0.001
"Rye-wheat bread, wholemeal",34.0,0.21,61.0,189.0,241.0,0.004,2.0,1.42,3.898,0.07,0.12,0.0,0.092,0.5,
Saccharine,0.0,0.0,0.0,0.0,4.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Safflower seed oil, edible",0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,
Saffron,110.0,0.33,200.0,250.0,1720.0,,11.1,2.0,4.0,,,0.0,0.0,,0.0
Sage,600.0,0.123,160.0,33.0,390.0,0.003,4.538,1.7,1.288,0.055,0.11,0.0,0.0,0.0,0.0
Salad dressing,10.0,,2.0,17.0,37.0,0.003,0.2,0.21,,0.01,,0.0,0.004,7.8,0.011
"Salad dressing, low fat",48.0,0.02,1.0,44.0,90.0,0.001,,0.2,0.901,0.03,0.01,,0.01,0.16,0.023
"Salmon roe, atlantic",20.0,0.3,20.0,400.0,350.0,,0.6,1.0,6.717,0.72,0.38,0.018,0.5,10.0,0.0
"Salmon, threadfin",12.0,0.03,27.0,244.0,396.0,0.026,1.0,0.6,7.5,0.36,0.13,0.004,0.63,1.9,
"Salmon, threadfin, PROCESS Baking",12.0,0.03,34.0,347.0,455.0,0.022,0.3,0.47,8.8,0.08,0.22,0.0039900000000000005,0.402,4.1,
"Salmon, threadfin, PROCESS Cooking in water",12.0,0.03,34.0,347.0,455.0,0.022,0.3,0.47,8.8,0.08,0.22,0.0039900000000000005,0.402,4.1,
"Salmon, threadfin, PROCESS Steaming",12.0,0.03,34.0,347.0,455.0,0.022,0.3,0.47,8.8,0.08,0.22,0.0039900000000000005,0.402,4.1,
Salsa,13.0,0.07,12.0,26.0,290.0,0.0004,0.3,0.1,0.4,0.05,0.06,0.0,0.07,1.29,
Salsifies,60.0,0.01,10.0,50.0,400.0,,1.5,0.2,0.65,0.02,0.05,0.0,0.12,0.8,0.0
"Salsifies, PROCESS Cooking in water",60.0,0.01,16.0,50.0,400.0,,1.5,0.3,0.6,0.02,0.05,0.0,0.12,0.8,0.0
"Salsifies, PROCESS Steaming",60.0,0.01,16.0,50.0,400.0,,1.5,0.3,1.13,0.02,0.05,0.0,0.12,0.8,0.0
Salt,2.0,0.01,,1.0,,0.0005,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Salt, flavoured",254.0,0.165,121.0,162.0,188.0,,0.826,0.369,0.502,0.017,0.003,0.0,0.03,0.263,0.0
"Salt, iodised",2.0,0.01,,1.0,7.0,0.0005,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Salt, iodised and fluoridated",250.0,0.1,120.0,150.0,4.0,,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Salt, low sodium",,,,,34600.0,0.0012,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandwich and sandwich-like dishes,51.8,0.119,26.6,162.0,167.0,0.0065,0.9,1.19,2.55,0.13,0.24,0.00019,0.15,1.07,0.003
Sandwich with cheese and vegetable topping/filling,535.0,0.202,28.0,367.0,189.0,0.0044,0.537,2.464,3.686,0.113,0.058,0.001,0.069,0.798,0.007
Sandwich with cheese topping/filling,321.0,0.08,22.0,206.0,106.0,0.005,1.01,1.7,4.0,0.16,0.14,0.0007,0.09,0.81,0.005
Sandwich with fish and vegetable topping/filling,45.9,0.087,33.2,77.5,160.0,0.0047,0.88,0.54,5.557,0.073,0.051,0.00131,0.13,1.59,0.008
Sandwich with fish topping/filling,100.0,0.09,21.0,110.0,151.0,0.029,1.22,0.7,8.2,0.09,0.14,0.0014,0.2,3.22,0.008
Sandwich with meat and vegetable topping/filling,95.0,0.08,17.0,87.0,180.0,0.005,1.06,0.7,3.9,0.07,0.34,0.0002,0.15,2.88,0.007
Sandwich with processed meat topping/filling,98.0,0.1,19.0,128.0,191.0,0.006,1.1,0.8,4.0,0.08,0.31,0.0002,0.19,1.77,0.005
Sardines and sardine-type fishes,84.0,0.12,31.0,270.0,360.0,0.034,1.4,1.0,13.7,0.22,0.02,0.011,0.39,0.29,0.0
"Sardines and sardine-type fishes, PROCESS Baking",130.0,0.14,34.0,320.0,400.0,0.038,1.7,1.4,14.353,0.25,0.019,0.012,0.41,0.32,0.0
"Sardines and sardine-type fishes, PROCESS Cooking in water",,0.12,39.0,450.0,353.0,0.035,2.0,2.2,9.13,0.17,0.1,0.0115,0.2,1.7,0.0
"Sardines and sardine-type fishes, PROCESS Frying",102.0,0.193,26.0,278.0,427.0,,2.443,1.928,14.353,0.269,0.019,0.0002,0.92,0.559,0.0
"Sardines and sardine-type fishes, PROCESS Steaming",,0.12,39.0,450.0,353.0,0.035,2.0,2.2,9.13,0.17,0.1,0.0115,0.2,1.7,0.0
Sauerkraut,62.0,0.03,9.0,30.0,210.0,0.003,0.3,0.12,0.533,0.04,,0.0,0.134,0.1,
"Sauerkraut, PROCESS Baking",53.0,0.143,15.0,47.0,317.0,,0.66,0.352,0.461,0.052,0.027,0.0,0.208,0.165,0.028
"Sauerkraut, PROCESS Cooking in water",46.0,0.03,8.0,30.0,138.0,0.003,0.4,0.1,0.4,0.01,0.02,0.0,0.17,0.1,0.028
"Sauerkraut, PROCESS Steaming",46.0,0.03,8.0,30.0,138.0,0.003,0.4,0.1,0.65,0.01,0.02,0.0,0.17,0.1,0.028
Sausage roll,11.0,0.06,16.0,126.0,160.0,0.007,1.1,2.17,2.7,0.18,0.29,0.0008,0.245,0.2,
"Scallops, pectens",24.0,0.05,56.0,219.0,322.0,0.022,0.3,0.95,3.733,0.07,0.01,0.0015300000000000001,0.15,1.0,0.0
"Scallops, pectens, PROCESS Baking",83.0,0.096,54.0,163.0,318.0,,,2.406,4.183,0.206,0.096,0.0022,0.067,0.601,0.0
"Scallops, pectens, PROCESS Cooking in water",29.0,0.14,38.0,240.0,240.0,0.051,1.1,2.6,5.9,0.05,0.08,0.009,0.061,0.618,0.0
"Scallops, pectens, PROCESS Frying",120.0,0.053,40.0,340.0,480.0,0.0222,3.0,0.95,4.183,0.065,0.012,0.009,,1.0,0.0
"Scallops, pectens, PROCESS Steaming",29.0,0.14,38.0,240.0,240.0,0.051,1.1,2.6,5.9,0.05,0.08,0.009,0.061,0.618,0.0
Scones and similar,186.0,0.1,17.0,512.0,154.0,0.002,1.27,0.7,2.4,0.09,0.15,0.0003,0.09,5.14,
Sea bass,130.0,0.01,22.0,410.0,171.0,0.0,2.2,0.3,6.2,0.093,0.073,0.004,0.233,0.25,
"Sea bass, PROCESS Cooking in water",74.0,,34.0,273.0,333.0,,0.4,1.1,6.5,0.13,0.18,0.0011,0.14,,
"Sea bass, PROCESS Steaming",74.0,,34.0,273.0,333.0,,0.4,1.1,6.5,0.13,0.18,0.0011,0.14,,
Sea bream,40.0,0.05,23.0,230.0,270.0,0.0,0.5,0.3,8.7,0.1,0.08,0.002,0.46,0.25,
"Sea bream, PROCESS Cooking in water",10.0,,37.0,173.0,298.0,,0.5,0.9,5.0,0.049,0.11,0.0011,0.17,,
"Sea bream, PROCESS Steaming",10.0,,37.0,173.0,298.0,,0.5,0.9,5.0,0.049,0.11,0.0011,0.17,,
Sea buckthorns,14.2,0.078,10.0,21.9,259.0,0.0001,0.39,0.2,0.75,0.04,0.03,0.0,0.054,3.05,0.0
Sea salt,51.0,0.14,37.0,1.0,56.0,0.0,3.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea-squirts and other tunicates,57.0,2.98,86.0,141.0,347.0,,3.5,1.62,3.483,0.107,0.026,0.002,0.14,0.001,0.0
"Sea-squirts and other tunicates, PROCESS Baking",57.0,3.122,81.0,132.0,306.0,,3.667,1.787,3.511,0.094,0.017,0.0015,0.093,0.001,0.0
"Sea-squirts and other tunicates, PROCESS Cooking in water",84.0,6.59,87.0,140.0,190.0,0.0448,3.3,12.1,5.5,0.17,0.04,0.021,0.09,0.8,0.0
"Sea-squirts and other tunicates, PROCESS Frying",57.0,3.122,81.0,132.0,306.0,,3.667,1.787,3.511,0.094,0.017,0.0015,0.093,0.001,0.0
"Sea-squirts and other tunicates, PROCESS Steaming",84.0,6.59,87.0,140.0,190.0,,3.3,12.1,5.5,0.17,0.04,0.021,0.09,0.8,0.0
Seafood salad,78.0,0.2,15.0,149.0,188.0,0.029,0.8,1.33,8.6,0.11,0.04,0.00478,0.251,23.8,0.014
Seafood-based meals,35.0,0.08,22.0,192.0,277.0,0.023,0.62,0.7,5.9,0.21,0.05,0.0017,0.29,3.998,0.001
Seasoning mixes,194.0,0.874,88.0,260.0,1144.0,0.016800000000000002,4.5,1.88,3.575,0.25,0.15,0.0,0.25,0.62,0.0
Sesame paste (tahini) (sesamus indicum),426.0,1.5,353.0,564.0,480.0,0.034,9.0,5.4,21.3,0.13,0.32,0.0,0.146,,
"Sesame seed oil, edible",,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,1.4,0.01
Sesame seeds,670.0,1.46,370.0,778.0,407.0,0.024399999999999998,7.8,5.4,12.53,0.08,0.72,0.0,0.146,2.5,0.002
"Sesame seeds, PROCESS Baking",712.0,1.327,315.0,552.0,416.0,0.002,9.104,7.075,7.294,0.159,0.359,0.0,0.431,1.75,0.012
Shads,20.0,0.3,30.0,260.0,330.0,,0.5,1.0,11.733,0.24,0.15,0.011,0.3,0.88,0.0
"Shads, PROCESS Baking",40.0,0.138,33.0,265.0,361.0,,1.102,0.84,7.412,0.233,0.038,0.009,0.424,1.649,0.0
"Shads, PROCESS Cooking in water",42.0,0.138,33.0,264.0,336.0,,1.095,0.887,6.127,0.192,0.037,0.0085,0.392,1.68,0.0
"Shads, PROCESS Frying",40.0,0.138,33.0,265.0,361.0,,1.102,0.84,7.412,0.233,0.038,0.009,0.424,1.649,0.0
"Shads, PROCESS Steaming",42.0,0.138,33.0,264.0,336.0,,1.095,0.887,6.127,0.192,0.037,0.0085,0.392,1.68,0.0
Shallots,29.0,0.06,9.0,33.0,185.0,0.001,0.3,0.29,1.1,0.01,0.03,0.0,0.121,0.1,0.0
"Shallots, PROCESS Baking",8.87,0.039,6.5,29.1,216.0,0.0003,0.23,0.084,0.817,0.018,0.041,0.0,0.084,1.1,0.0079
